Nome;Data;potencia_total;P - Fase A (W);P - Fase B (W);P - Fase C (W);Q - Total (var);Q - Fase A (var);Q - Fase B (var);Q - Fase C (var);FP - Total;FP - Fase A;FP - Fase B;FP - Fase C;V - Fase A (V);V - Fase B (V);V - Fase C (V);I - Fase A (A);I - Fase B (A);I - Fase C (A)
PowLatec;11/02/2022, 23:00:00;1722,8588576779027;0;0;1722,8588576779027;0;0;0;0;1;1;1;1;0;0;219,82516853932583;0;0;8,257752808988764
PowLatec;12/02/2022, 0:00:00;1718,2753747714808;0;0;1718,2753747714808;0;0;0;0;1;1;1;1;0;0;217,90994515539307;0;0;8,2454844606947
PowLatec;12/02/2022, 1:00:00;1724,4977719298245;0;0;1724,4977719298245;0;0;0;0;1;1;1;1;0;0;217,19884210526314;0;0;8,279070175438596
PowLatec;12/02/2022, 2:00:00;1667,9034416826005;0;0;1667,9034416826005;0;0;0;0;1;1;1;1;0;0;218,22043977055452;0;0;7,949139579349904
PowLatec;12/02/2022, 3:00:00;1663,5457059961316;0;0;1663,5457059961316;0;0;0;0;1;1;1;1;0;0;218,8914506769826;0;0;7,964854932301741
PowLatec;12/02/2022, 4:00:00;1571,8327474747473;0;0;1571,8327474747473;0;0;0;0;1;1;1;1;0;0;218,55949494949493;0;0;7,509232323232323
PowLatec;12/02/2022, 5:00:00;1578,619746835443;0;0;1578,619746835443;0;0;0;0;1;1;1;1;0;0;219,05061181434598;0;0;7,515822784810126
PowLatec;12/02/2022, 6:00:00;1576,2174332648872;0;0;1576,2174332648872;0;0;0;0;1;1;1;1;0;0;217,98312114989733;0;0;7,5829979466119095
PowLatec;12/02/2022, 7:00:00;1629,3090303030303;0;0;1629,3090303030303;0;0;0;0;1;1;1;1;0;0;220,6472727272727;0;0;7,690989898989899
PowLatec;12/02/2022, 8:00:00;1760,0340034965034;0;0;1760,0340034965034;0;0;0;0;1;1;1;1;0;0;219,84085664335666;0;0;8,316555944055944
PowLatec;12/02/2022, 9:00:00;1784,8526268115943;0;0;1784,8526268115943;0;0;0;0;1;1;1;1;0;0;219,22778985507247;0;0;8,524673913043477
PowLatec;12/02/2022, 10:00:00;1867,2985406301825;0;0;1867,2985406301825;0;0;0;0;1;1;1;1;0;0;218,50872305140965;0;0;8,869419568822554
PowLatec;12/02/2022, 11:00:00;1968,5224228395061;0;0;1968,5224228395061;0;0;0;0;1;1;1;1;0;0;217,76884259259262;0;0;9,448487654320987
PowLatec;12/02/2022, 12:00:00;2097,041837606838;0;0;2097,041837606838;0;0;0;0;1;1;1;1;0;0;218,97260683760683;0;0;10,041125356125356
PowLatec;12/02/2022, 13:00:00;2126,112243767313;0;0;2126,112243767313;0;0;0;0;1;1;1;1;0;0;219,65085872576174;0;0;10,137963988919667
PowLatec;12/02/2022, 14:00:00;2196,39287012987;0;0;2196,39287012987;0;0;0;0;1;1;1;1;0;0;220,35781818181817;0;0;10,38838961038961
PowLatec;12/02/2022, 15:00:00;2249,648433121019;0;0;2249,648433121019;0;0;0;0;1;1;1;1;0;0;220,05668789808917;0;0;10,637477707006369
PowLatec;12/02/2022, 16:00:00;2164,9879610194903;0;0;2164,9879610194903;0;0;0;0;1;1;1;1;0;0;219,79521739130436;0;0;10,269250374812595
