timestamp,temperature,usage
1645185907,45.0,0.7
1645186207,45.0,3.1
1645186507,44.0,0.7
1645186808,45.0,0.8
1645187107,45.0,0.7
1645187407,47.0,0.7
1645187707,45.0,28.6
1645188008,44.0,0.5
1645188307,44.0,0.3
1645188607,44.0,2.8
1645188907,44.0,1
1645189208,44.0,1
1645189507,44.0,0.7
1645189807,45.0,0.5
1645190107,45.0,0.7
1645190407,45.0,37.6
1645190708,44.0,0.3
1645191007,45.0,0.7
1645191307,44.0,0.8
1645191607,45.0,0.5
1645191908,45.0,0.5
1645192207,45.0,0.5
1645192507,45.0,1
1645192807,45.0,0.7
1645193108,44.0,36.1
1645193407,44.0,1
1645193707,45.0,3.3
1645194007,45.0,2.1
1645194308,45.0,0.5
1645194607,45.0,1
1645194907,44.0,0.7
1645195207,45.0,0.5
1645195507,45.0,0.8
1645195808,44.0,20.3
1645196107,44.0,0.3
1645196407,44.0,0.7
1645196707,44.0,0.5
1645197008,44.0,0.5
1645197307,45.0,0.5
1645197607,44.0,0.3
1645197907,44.0,0.7
1645198208,45.0,1
1645198507,44.0,9.9
1645198807,44.0,0.5
1645199107,44.0,0.5
1645199408,45.0,0.8
1645199707,45.0,0.7
1645200007,44.0,0.3
1645200307,45.0,0.5
1645200608,44.0,0.3
1645200907,44.0,0.8
1645201207,44.0,3.7
1645201507,45.0,1.2
1645201807,44.0,1
1645202108,44.0,0.5
1645202407,44.0,0.5
1645202707,44.0,0.5
1645203007,44.0,3.2
1645203308,44.0,1.8
1645203607,44.0,1
1645203907,46.0,0.5
1645204207,45.0,0.3
1645204508,45.0,0.5
1645204807,44.0,0.7
1645205107,44.0,0.5
1645205407,44.0,0.5
1645205708,44.0,0.3
1645206007,45.0,0.2
1645206307,44.0,1.3
1645206607,47.0,0.8
1645206908,44.0,19.6
1645207207,44.0,0.5
1645207507,44.0,1.2
1645207807,45.0,0.3
1645208107,44.0,0.8
1645208408,44.0,0.3
1645208707,44.0,0.5
1645209007,44.0,0.7
1645209307,46.0,1.3
1645209608,44.0,38
1645209907,44.0,0.7
1645210207,44.0,0.3
1645210507,45.0,0.3
1645210808,44.0,0.7
1645211107,45.0,0.2
1645211407,44.0,0.3
1645211707,45.0,0.3
1645212008,45.0,0.5
1645212307,44.0,17
1645212607,44.0,0.3
1645212907,44.0,0.5
1645213208,45.0,0.3
1645213507,44.0,0.5
1645213807,44.0,0.2
1645214107,44.0,0.7
1645214407,44.0,0.5
1645214708,44.0,1
1645215007,44.0,45.4
1645215307,44.0,0.8
1645215607,44.0,0.3
1645215908,44.0,0.8
1645216207,44.0,0.7
1645216507,44.0,0.8
1645216807,44.0,3
1645217108,45.0,4.1
1645217407,44.0,0.8
1645217707,44.0,30.8
1645218007,44.0,0.5
1645218308,44.0,0.5
1645218607,44.0,0.3
1645218907,44.0,0.5
1645219207,44.0,0.3
1645219508,44.0,0.5
1645219807,45.0,0.5
1645220107,44.0,1.2
1645220407,44.0,16.3
1645220707,44.0,0.5
1645221008,44.0,0.5
1645221307,44.0,0.5
1645221607,44.0,0.5
1645221907,44.0,0.5
1645222208,44.0,0.2
1645222507,44.0,0.3
1645222807,44.0,1
1645223107,44.0,0.5
1645223408,44.0,0.3
1645223707,44.0,0.5
1645224007,45.0,0.3
1645224307,44.0,0.3
1645224608,44.0,0.5
1645224907,44.0,0.5
1645225207,44.0,0.3
1645225507,44.0,0.2
1645225808,51.0,0.3
1645226107,44.0,0.5
1645226407,44.0,0.5
1645226707,44.0,0.3
1645227007,45.0,0.5
1645227308,44.0,0.3
1645227607,44.0,0.3
1645227907,44.0,0.5
1645228207,44.0,0.7
1645228508,49.0,0.2
1645228807,44.0,14.6
1645229107,44.0,0.3
1645229407,44.0,0.3
1645229708,45.0,0.7
1645230007,45.0,0.5
1645230307,45.0,1
1645230607,44.0,2.7
1645230908,45.0,1.3
1645231207,46.0,0.8
1645231507,44.0,31.2
1645231807,45.0,0.5
1645232107,44.0,0.2
1645232408,45.0,0.5
1645232707,45.0,0.5
1645233007,45.0,0.5
1645233307,45.0,1
1645233608,45.0,0.3
1645233907,47.0,0.5
1645234207,45.0,27.8
1645234507,45.0,0.3
1645234808,44.0,0.3
1645235107,45.0,0.5
1645235407,45.0,1
1645235707,45.0,0.5
1645236008,45.0,0.3
1645236307,44.0,0.5
1645236607,45.0,0.5
1645236907,45.0,45.1
1645237207,44.0,0.5
1645237508,45.0,0.2
1645237807,44.0,0.3
1645238107,44.0,0.2
1645238407,45.0,0.5
1645238708,44.0,0.3
1645239007,45.0,1
1645239307,45.0,1.3
1645239607,44.0,31.6
1645239908,44.0,0.7
1645240207,47.0,49.8
1645240507,46.0,54.1
1645240807,47.0,30.9
1645241108,46.0,54.1
1645241407,46.0,28.4
1645241707,46.0,66.8
1645242007,46.0,50.6
1645242307,45.0,36.4
1645242608,46.0,72.1
1645242907,46.0,50.2
1645243207,46.0,50.2
1645243507,46.0,69.9
1645243808,46.0,50.6
1645244107,45.0,50.3
1645244407,46.0,75
1645244707,46.0,37
1645245008,46.0,50.6
1645245307,47.0,74.7
1645245607,45.0,44.7
1645245907,45.0,26.3
1645246208,46.0,67.6
1645246507,46.0,50
1645246807,45.0,34.4
1645247108,45.0,71.9
1645247407,45.0,46.5
1645247707,46.0,51.4
1645248007,45.0,53
1645248307,46.0,27.5
1645248608,45.0,27
1645248907,45.0,50.1
1645249207,46.0,35.2
1645249508,46.0,51
1645249807,45.0,50.4
1645250107,46.0,50.3
1645250407,45.0,43
1645250708,45.0,50.1
1645251007,46.0,48.1
1645251307,46.0,45.5
1645251607,45.0,29.8
1645251907,46.0,50.4
1645252208,46.0,40.9
1645252507,45.0,50.2
1645252807,46.0,41.8
1645253107,46.0,37.3
1645253408,45.0,50.4
1645253707,46.0,50.4
1645254007,48.0,54.3
1645254307,46.0,51
1645254608,46.0,28.5
1645254907,47.0,33.4
1645255207,45.0,30
1645255507,45.0,41.4
1645255807,49.0,37.5
1645256108,46.0,31.9
1645256407,46.0,50.7
1645256707,51.0,51
1645257008,45.0,29
1645257307,45.0,47.3
1645257607,46.0,68.4
1645257907,45.0,50
1645258207,45.0,29.5
1645258508,45.0,0.8
1645258807,44.0,45.5
1645259107,44.0,0.5
1645259407,45.0,0.5
1645259708,44.0,0.5
1645260007,44.0,0.3
1645260307,45.0,3.2
1645260607,44.0,3
1645260908,44.0,3
1645261207,51.0,21.1
1645261507,44.0,30.8
1645261807,44.0,1.7
1645262108,45.0,2.2
1645262407,45.0,0.5
1645262707,44.0,0.3
1645263007,44.0,0.5
1645263308,44.0,0.5
1645263607,44.0,0.3
1645263907,44.0,27.6
1645264207,45.0,0.7
1645264507,44.0,1
1645264808,44.0,0.8
1645265107,44.0,0.3
1645265407,44.0,3.3
1645265707,44.0,0.7
1645266008,45.0,0.7
1645266307,44.0,0.7
1645266607,45.0,27.1
1645266907,44.0,1.5
1645267208,44.0,2.3
1645267507,44.0,1.5
1645267807,44.0,1.2
1645268107,44.0,0.7
1645268408,45.0,0.5
1645268707,44.0,0.5
1645269007,44.0,0.7
1645269307,44.0,21.2
1645269608,44.0,0.5
1645269907,44.0,0.7
1645270207,44.0,0.5
1645270507,45.0,0.7
1645270807,44.0,3.8
1645271108,44.0,0.5
1645271407,44.0,0.7
1645271707,44.0,1.2
1645272007,44.0,21.3
1645272308,44.0,0.5
1645272607,45.0,0.3
1645272907,45.0,3.2
1645273207,45.0,2.8
1645273508,44.0,2.3
1645273807,45.0,0.3
1645274107,44.0,0.5
1645274407,45.0,0.8
1645274708,44.0,0.5
1645275007,44.0,1.5
1645275307,45.0,0.8
1645275607,45.0,0.7
1645275907,44.0,2.8
1645276208,44.0,1.2
1645276507,44.0,0.7
1645276807,44.0,0.5
1645277107,44.0,1
1645277408,44.0,0.3
